tank,zone,worm_id,treatment,worm_colour,amt_cut_mm,string_end_mm,length_1,length_2,length_3,length_3.5,length_4,length_5,growth_1,growth_2,growth_3,growth_4,growth_5,total_growth,total_growth_DS
A,1,A_1_1,low_salinity,yellow,16.95,2.26,3.55,5.77,9.1,9.2,9.9,9.9,1.29,2.22,3.33,0.7,0,7.64,6.84
A,1,A_1_2,low_salinity,dark_blue,15.04,5.69,6,6.6,7,7,7,7,0.31,0.6,0.4,0,0,1.31,1.31
A,1,A_1_3,low_salinity,orange,14.95,5.39,7.5,7.7,7.7,8.35,8.45,8.45,2.11,0.2,0,0.1,0,3.06,2.31
A,1,A_1_4,low_salinity,lime_green,15.58,4.22,6.7,6.7,6.7,6.7,7,8.8,2.48,0,0,0.3,1.8,4.58,2.48
A,1,A_1_5,low_salinity,black,15.23,7.46,7.9,7.9,8,8,8,8,0.44,0,0.1,0,0,0.54,0.54
A,1,A_1_6,low_salinity,pink,14.76,5.91,7,8.95,9,9.2,9.4,9.7,1.09,1.95,0.05,0.2,0.3,3.79,3.09
A,1,A_1_7,low_salinity,red,14.46,5.95,8.05,9.4,9.4,9.4,9.4,10,2.1,1.35,0,0,0.6,4.05,3.45
A,1,A_1_8,low_salinity,baby_blue,14.75,5.18,6.1,6.1,6.4,6.5,8.55,8.55,0.92,0,0.3,2.05,0,3.37,1.22
A,1,A_1_9,low_salinity,white,15.2,3.92,7.1,7.2,8.4,8.7,10,10,3.18,0.1,1.2,1.3,0,6.08,4.48
A,1,A_1_10,low_salinity,jade,13.49,2.81,6.25,6.35,6.35,6.4,6.4,6.75,3.44,0.1,0,0,0.35,3.94,3.54
A,2,A_2_1,low_salinity,yellow,14.9,5.83,9.4,12.2,12.5,12.7,13.4,14.4,3.57,2.8,0.3,0.7,1,8.57,6.67
A,2,A_2_2,low_salinity,dark_blue,14.79,4.57,5.8,6.1,7.1,8.05,8.05,8.5,1.23,0.3,1,0,0.45,3.93,2.53
A,2,A_2_3,low_salinity,orange,14.82,7.46,7.5,8.55,10.4,10.4,11,11.2,0.04,1.05,1.85,0.6,0.2,3.74,2.94
A,2,A_2_4,low_salinity,lime_green,15.03,6.09,7,7.45,7.5,8.8,8.8,8.8,0.91,0.45,0.05,0,0,2.71,1.41
A,2,A_2_5,low_salinity,black,15.16,6.59,8.1,9.55,9.55,9.55,9.55,9.55,1.51,1.45,0,0,0,2.96,2.96
A,2,A_2_6,low_salinity,pink,16.45,7.88,10,11.1,12.2,13.05,13.05,14,2.12,1.1,1.1,0,0.95,6.12,4.32
A,2,A_2_7,low_salinity,red,15.22,8.88,10,10.25,10.25,10.5,10.5,11,1.12,0.25,0,0,0.5,2.12,1.37
A,2,A_2_8,low_salinity,baby_blue,15.79,6.16,7.5,8.3,8.3,9.8,9.8,9.8,1.34,0.8,0,0,0,3.64,2.14
A,2,A_2_9,low_salinity,white,15.59,4.93,4.93,6.7,10.8,12.2,12.2,12.2,0,1.77,4.1,0,0,7.27,5.87
A,2,A_2_10,low_salinity,jade,16.52,5.37,9,9,9.4,10.25,10.25,10.25,3.63,0,0.4,0,0,4.88,4.03
A,3,A_3_1,low_salinity,yellow,14.42,5.56,8,8.3,10,10,10.4,10.5,2.44,0.3,1.7,0.4,0.1,4.94,4.44
A,3,A_3_2,low_salinity,dark_blue,15.36,5.5,6.4,6.5,10.1,12,12.6,13.5,0.9,0.1,3.6,0.6,0.9,8,4.6
A,3,A_3_3,low_salinity,orange,15.02,6.29,7.65,8.9,9.9,11.1,12.2,13.2,1.36,1.25,1,1.1,1,6.91,3.61
A,3,A_3_4,low_salinity,lime_green,15.4,5.2,6,6.8,6.8,7.4,8.2,8.3,0.8,0.8,0,0.8,0.1,3.1,1.6
A,3,A_3_5,low_salinity,black,14.19,3.64,5.5,5.7,7,7.1,8.3,8.3,1.86,0.2,1.3,1.2,0,4.66,3.36
A,3,A_3_6,low_salinity,pink,16.15,4.31,6.4,7,9,9.4,10,10.4,2.09,0.6,2,0.6,0.4,6.09,4.69
A,3,A_3_7,low_salinity,red,14.31,6.66,7.7,8.5,11.1,11.4,11.7,12.2,1.04,0.8,2.6,0.3,0.5,5.54,4.44
A,3,A_3_8,low_salinity,baby_blue,14.82,5.92,9.9,9.9,9.9,10,10.1,11,3.98,0,0,0.1,0.9,5.08,3.98
A,3,A_3_9,low_salinity,white,14.71,6.12,7.35,8.7,8.7,9,9,9,1.23,1.35,0,0,0,2.88,2.58
A,3,A_3_10,low_salinity,jade,14.24,5.01,7,7.7,9.7,10.5,10.5,10.5,1.99,0.7,2,0,0,5.49,4.69
B,1,B_1_1,high_temp,yellow,15.98,6.35,7.2,7.2,7.55,9.15,9.15,9.15,0.85,0,0.35,0,0,2.8,1.2
B,1,B_1_2,high_temp,dark_blue,16.12,2.64,8.1,10.5,11.1,13.05,14.15,15,5.46,2.4,0.6,1.1,0.85,12.36,8.46
B,1,B_1_3,high_temp,orange,13.62,6.87,9,10,10,11.1,12.7,12.7,2.13,1,0,1.6,0,5.83,3.13
B,1,B_1_4,high_temp,lime_green,12.55,7.55,9,12.45,12.45,15,17.05,17.05,1.45,3.45,0,2.05,0,9.5,4.9
B,1,B_1_5,high_temp,black,16.15,5.82,7.1,10.25,13.6,15.5,15.5,15.95,1.28,3.15,3.35,0,0.45,10.13,7.78
B,1,B_1_6,high_temp,pink,15.41,3.26,10,10,10,10,11.1,12.5,6.74,0,0,1.1,1.4,9.24,6.74
B,1,B_1_7,high_temp,red,16.42,3.4,5.1,5.1,5.8,6.35,7,7,1.7,0,0.7,0.65,0,3.6,2.4
B,1,B_1_8,high_temp,baby_blue,14,6,11.1,12.45,14.2,16.1,18.45,18.45,5.1,1.35,1.75,2.35,0,12.45,8.2
B,1,B_1_9,high_temp,white,12.27,5.4,6.25,8.05,10.5,10.5,11.35,11.35,0.85,1.8,2.45,0.85,0,5.95,5.1
B,1,B_1_10,high_temp,jade,14,6,9.15,10.5,13,14.4,15.5,15.5,3.15,1.35,2.5,1.1,0,9.5,7
B,2,B_2_1,high_temp,yellow,16.17,3.89,5.2,5.6,6.6,6.6,7.45,8,1.31,0.4,1,0.85,0.55,4.11,2.71
B,2,B_2_2,high_temp,dark_blue,13.85,9.98,10.3,10.3,10.65,11.1,12.2,12.2,0.32,0,0.35,1.1,0,2.22,0.67
B,2,B_2_3,high_temp,orange,15.3,9.31,13,14.6,18.1,19.4,23.55,24.15,3.69,1.6,3.5,4.15,0.6,14.84,8.79
B,2,B_2_4,high_temp,lime_green,18.94,1.55,3.2,4.7,4.7,4.7,4.7,5,1.65,1.5,0,0,0.3,3.45,3.15
B,2,B_2_5,high_temp,black,15.55,5.81,7.1,9,9.2,9.4,10.5,10.5,1.29,1.9,0.2,1.1,0,4.69,3.39
B,2,B_2_6,high_temp,pink,19.46,6.27,9.2,13.6,15.4,12,19.9,22.45,2.93,4.4,1.8,7.9,2.55,16.18,9.13
B,2,B_2_7,high_temp,red,15.36,7.37,9.4,9.7,10.5,10.6,12.35,12.45,2.03,0.3,0.8,1.75,0.1,5.08,3.13
B,2,B_2_8,high_temp,baby_blue,15.04,3.27,3.27,8.5,9.1,10.3,13.05,14.15,0,5.23,0.6,2.75,1.1,10.88,5.83
B,2,B_2_9,high_temp,white,16.64,5.25,7.6,8.5,8.5,8.5,10,10.5,2.35,0.9,0,1.5,0.5,5.25,3.25
B,2,B_2_10,high_temp,jade,16.76,6.7,7.6,7.6,8,8.2,11.1,11.1,0.9,0,0.4,2.9,0,4.4,1.3
B,3,B_3_1,high_temp,yellow,17.67,7.66,8.3,8.3,8.45,9.8,9.8,10.7,0.64,0,0.15,0,0.9,3.04,0.79
B,3,B_3_2,high_temp,dark_blue,13.45,6.23,7.85,10,10.6,11.1,11.3,12.2,1.62,2.15,0.6,0.2,0.9,5.97,4.37
B,3,B_3_3,high_temp,orange,15.08,13.11,13.3,16.6,18.35,18.35,18.35,18.5,0.19,3.3,1.75,0,0.15,5.39,5.24
B,3,B_3_4,high_temp,lime_green,17.17,7.21,10.2,11.1,11.6,12.2,12.2,12.5,2.99,0.9,0.5,0,0.3,5.29,4.39
B,3,B_3_5,high_temp,black,17.62,8.91,10,11.35,11.35,12.2,12.2,12.2,1.09,1.35,0,0,0,3.29,2.44
B,3,B_3_6,high_temp,pink,15.35,3.7,4.15,5.75,6,7.1,7.1,8.5,0.45,1.6,0.25,0,1.4,4.8,2.3
